Mark,Sex,Fish_ID,Tank,Treatment_Tank,Weight(g),Fish_Length_cm,BMI,K Index,Date,Week,Age_Days,Notes
Whi.Pur,female,a7376,HA_C1,Control,0.376,2.978,0.042397325,,30/05/2019,2,126,female
Ora.Bla,male,a7403,HA_C1,Control,0.299,3.05,0.032141897,,30/05/2019,2,126,
Yel._,male,a7475,HA_C1,Control,0.21,2.538,0.032601386,,30/05/2019,2,126,
Ora.Pin,female,a7498,HA_C1,Control,0.279,3.109,0.028864415,,30/05/2019,2,126,
Pin.Ora,male,a7555,HA_C1,Control,0.326,2.925,0.038103587,,30/05/2019,2,126,
Red.Yel,male,a7563,HA_C1,Control,0.28,2.839,0.034739795,,30/05/2019,2,126,
Red.Ora,male,a7614,HA_C1,Control,0.254,2.784,0.03277142,,30/05/2019,2,126,
Blu.Blu,female,a7659,HA_C1,Control,0.323,2.86,0.039488484,,30/05/2019,2,126,
Gre.Gre,female,a7698,HA_C1,Control,0.358,2.679,0.049881281,,30/05/2019,2,126,
Bro.Bro,male,a7720,HA_C1,Control,0.215,2.586,0.032150033,,30/05/2019,2,126,
Yel.Red,female,a8068,HA_C1,Control,0.242,2.507,0.038504075,,30/05/2019,2,126,
Bla._,female,a6798,HA_C2,Control,0.328,2.73,0.044009714,,30/05/2019,2,126,
Pin.Yel,male,a6847,HA_C2,Control,0.262,2.821,0.032922675,,30/05/2019,2,126,
